temperature_c,rmax_kohm,rcent_kohm,rmin_kohm
-40,211.6797,203.3645,195.3564
-39,199.8413,192.1006,184.6412
-38,188.7440,181.5357,174.5853
-37,178.3366,171.6222,165.1440
-36,168.5719,162.3156,156.2759
-35,159.4063,153.5751,147.9425
-34,150.7991,145.3627,140.1082
-33,142.7130,137.6431,132.7401
-32,135.1131,130.3838,125.8075
-31,127.9672,123.5545,119.2821
-30,121.2454,117.1271,113.1373
-29,114.9199,111.0754,107.3487
-28,108.9650,105.3752,101.8934
-27,103.3567,100.0040,96.7503
-26,98.0728,94.9408,91.8995
-25,93.0925,90.1660,87.3228
-24,88.3965,85.6615,83.0029
-23,83.9669,81.4104,78.9239
-22,79.7871,77.3970,75.0710
-21,75.8414,73.6065,71.4302
-20,72.1155,70.0252,67.9888
-19,68.5956,66.6404,64.7344
-18,65.2693,63.4401,61.6560
-17,62.1248,60.4132,58.7430
-16,59.1510,57.5493,55.9854
-15,56.3377,54.8387,53.3742
-14,53.6754,52.2723,50.9007
-13,51.1550,49.8415,48.5568
-12,48.7682,47.5385,46.3351
-11,46.5072,45.3557,44.2284
-10,44.3645,43.2863,42.2301
-9,42.3334,41.3237,40.3341
-8,40.4074,39.4618,38.5346
-7,38.5804,37.6949,36.8260
-6,36.8469,36.0175,35.2033
-5,35.2014,34.4247,33.6617
-4,33.6392,32.9117,32.1967
-3,32.1554,31.4740,30.8041
-2,30.7457,30.1076,29.4798
-1,29.4060,28.8084,28.2202
0,28.1325,27.5729,27.0217
1,26.9215,26.3975,25.8810
2,25.7696,25.2789,24.7951
3,24.6736,24.2142,23.7610
4,23.6305,23.2005,22.7760
5,22.6375,22.2349,21.8374
6,21.6918,21.3151,20.9428
7,20.7910,20.4385,20.0900
8,19.9327,19.6029,19.2767
9,19.1147,18.8062,18.5010
10,18.3348,18.0464,17.7608
11,17.5911,17.3215,17.0544
12,16.8818,16.6298,16.3800
13,16.2050,15.9696,15.7361
14,15.5590,15.3392,15.1210
15,14.9424,14.7372,14.5334
16,14.3537,14.1622,13.9719
17,13.7914,13.6128,13.4351
18,13.2542,13.0877,12.9220
19,12.7408,12.5857,12.4312
20,12.2502,12.1057,11.9618
21,11.7811,11.6467,11.5126
22,11.3325,11.2075,11.0828
23,10.9034,10.7873,10.6713
24,10.4929,10.3850,10.2773
25,10.1000,10.0000,9.9000
26,9.7313,9.6313,9.5314
27,9.3780,9.2782,9.1785
28,9.0394,8.9398,8.8405
29,8.7148,8.6157,8.5168
30,8.4036,8.3050,8.2067
31,8.1052,8.0071,7.9095
32,7.8189,7.7215,7.6246
33,7.5443,7.4476,7.3515
34,7.2808,7.1849,7.0896
35,7.0278,6.9328,6.8384
36,6.7850,6.6908,6.5974
37,6.5518,6.4586,6.3661
38,6.3278,6.2356,6.1442
39,6.1127,6.0215,5.9311
40,5.9059,5.8159,5.7266
41,5.7073,5.6183,5.5301
42,5.5163,5.4284,5.3414
43,5.3327,5.2460,5.1601
44,5.1562,5.0706,4.9859
45,4.9864,4.9020,4.8185
46,4.8231,4.7398,4.6575
47,4.6659,4.5838,4.5027
48,4.5147,4.4338,4.3539
49,4.3691,4.2894,4.2107
50,4.2290,4.1504,4.0730
51,4.0940,4.0167,3.9404
52,3.9641,3.8879,3.8128
53,3.8389,3.7639,3.6901
54,3.7183,3.6445,3.5718
55,3.6021,3.5295,3.4580
56,3.4901,3.4186,3.3483
57,3.3821,3.3118,3.2427
58,3.2780,3.2089,3.1409
59,3.1777,3.1097,3.0428
60,3.0809,3.0140,2.9483
61,2.9875,2.9218,2.8572
62,2.8974,2.8328,2.7693
63,2.8105,2.7470,2.6846
64,2.7266,2.6642,2.6029
65,2.6456,2.5842,2.5240
66,2.5675,2.5071,2.4480
67,2.4920,2.4327,2.3745
68,2.4191,2.3608,2.3037
69,2.3487,2.2914,2.2353
70,2.2807,2.2244,2.1693
71,2.2149,2.1596,2.1055
72,2.1514,2.0971,2.0440
73,2.0900,2.0367,1.9845
74,2.0307,1.9783,1.9270
75,1.9733,1.9218,1.8715
76,1.9178,1.8673,1.8178
77,1.8642,1.8145,1.7660
